Нормативы распределения доходов от акцизов на топливо печное
бытовое, вырабатываемое из дизельных фракций прямой перегонки и
(или) вторичного происхождения, кипящих в интервале температур от
280 до 360 градусов Цельсия, производимое на территории Российской
Федерации, в бюджеты субъектов Российской Федерации на 2013 год
(в процентах)

Наименование субъекта Российской Федерации;Нормативы отчислений
Республика Адыгея (Адыгея) 0,2763
Республика Алтай 0,1894
Республика Башкортостан 3,1180
Республика Бурятия 0,6251
Республика Дагестан 1,4132
Республика Ингушетия 0,1545
Кабардино-Балкарская Республика 0,4875
Республика Калмыкия 0,2211
Карачаево-Черкесская Республика 0,3235
Республика Карелия 0,6936
Республика Коми 0,7819
Республика Марий Эл 0,3957
Республика Мордовия 0,4625
Республика Саха (Якутия) 0,9674
Республика Северная Осетия - Алания 0,3688
Республика Татарстан (Татарстан) 2,6688
Республика Тыва 0,2320
Удмуртская Республика 1,1125
Республика Хакасия 0,2601
Чеченская Республика 0,8190
Чувашская Республика - Чувашия 0,5480
Алтайский край 1,4844
Забайкальский край 1,0728
Камчатский край 0,2634
Краснодарский край 5,1012
Красноярский край 2,3069
Пермский край 1,8895
Приморский край 1,4867
Ставропольский край 1,7808
Хабаровский край 0,7787
Амурская область 0,6952
Архангельская область 1,0300
Астраханская область 0,5724
Белгородская область 1,0495
Брянская область 0,6698
Владимирская область 0,8143
Волгоградская область 1,8270
Вологодская область 0,9691
Воронежская область 1,5080
Ивановская область 0,5719
Иркутская область 1,6338
Калининградская область 0,8291
Калужская область 1,0359
Кемеровская область 1,4229
Кировская область 0,9567
Костромская область 0,5107
Курганская область 0,7330
Курская область 0,7065
Ленинградская область 1,4181
Липецкая область 0,8465
Магаданская область 0,1659
Московская область 5,5698
Мурманская область 0,4853
Нижегородская область 1,9875
Новгородская область 0,6660
Новосибирская область 2,0854
Омская область 1,2916
Оренбургская область 1,5733
Орловская область 0,7173
Пензенская область 0,7319
Псковская область 0,8392
Ростовская область 3,0660
Рязанская область 0,8318
Самарская область 1,9034
Саратовская область 1,6963
Сахалинская область 0,3187
Свердловская область 3,1038
Смоленская область 1,0582
Тамбовская область 0,7426
Тверская область 1,2419
Томская область 0,6311
Тульская область 0,9728
Тюменская область 1,1332
Ульяновская область 0,7928
Челябинская область 1,8958
Ярославская область 1,0888
город Москва 6,6014
город Санкт-Петербург 2,6784
Еврейская автономная область 0,1165
Ханты-Мансийский автономный округ - Югра 1,4078
Чукотский автономный округ 0,0594
Ямало-Ненецкий автономный округ 0,4624
ВСЕГО 100,0000
