Распределение бюджетных ассигнований
на 2013 год по субъектам
Российской Федерации на осуществление социальных выплат
для приобретения жилья гражданами, выезжающими из районов
Крайнего Севера и приравненных к ним местностей, а также
гражданами, выехавшими из указанных районов и местностей
не ранее 1 января 1992 года, в соответствии
с федеральной целевой программой "Жилище"
на 2011 - 2015 годы
(тыс. рублей)

Наименование субъекта Российской Федерации;Сумма
Республика Адыгея (Адыгея) 1 738,8
Республика Алтай 23 888,9
Республика Башкортостан 3 627,1
Республика Бурятия 72 521,0
Республика Дагестан 1 738,8
Республика Ингушетия 5 378,3
Кабардино-Балкарская Республика 1 738,8
Республика Калмыкия 1 738,8
Карачаево-Черкесская Республика 1 738,8
Республика Карелия 8 436,9
Республика Коми 475 232,1
Республика Марий Эл 1 738,8
Республика Мордовия 1 738,8
Республика Саха (Якутия) 164 366,5
Республика Северная Осетия - Алания 1 738,8
Республика Татарстан (Татарстан) 2 275,5
Республика Тыва 1 738,8
Удмуртская Республика 1 738,8
Республика Хакасия 1 738,8
Чеченская Республика 1 738,8
Чувашская Республика - Чувашия 1 738,8
Алтайский край 2 494,9
Забайкальский край 35 761,9
Камчатский край 101 957,8
Краснодарский край 4 834,1
Красноярский край 276 306,4
Пермский край 51 821,0
Приморский край 44 738,5
Ставропольский край 1 738,8
Хабаровский край 110 432,4
Амурская область 103 072,6
Архангельская область 86 557,5
Астраханская область 1 738,8
Белгородская область 1 995,8
Брянская область 1 738,8
Владимирская область 1 738,8
Волгоградская область 1 738,8
Вологодская область 1 738,8
Воронежская область 1 738,8
Ивановская область 1 738,8
Иркутская область 186 453,7
Калининградская область 1 738,8
Калужская область 1 738,8
Кемеровская область 1 738,8
Кировская область 1 738,8
Костромская область 1 738,8
Курганская область 1 738,8
Курская область 1 738,8
Ленинградская область 1 738,8
Липецкая область 1 738,8
Магаданская область 118 349,5
Московская область 1 714,5
Мурманская область 259 408,2
Нижегородская область 1 738,8
Новгородская область 1 738,8
Новосибирская область 1 917,2
Омская область 1 738,8
Оренбургская область 1 738,8
Орловская область 1 738,8
Пензенская область 1 738,8
Псковская область 1 738,8
Ростовская область 1 738,8
Рязанская область 1 738,8
Самарская область 1 738,8
Саратовская область 1 738,8
Сахалинская область 142 515,0
Свердловская область 1 738,8
Смоленская область 1 738,8
Тамбовская область 1 738,8
Тверская область 1 738,8
Томская область 70 691,9
Тульская область 1 738,8
Тюменская область 1 738,8
Ульяновская область 1 738,8
Челябинская область 1 738,8
Ярославская область 1 738,8
город Москва 1 738,8
город Санкт-Петербург 1 738,8
Еврейская автономная область 1 738,8
Ненецкий автономный округ 31 539,8
Ханты-Мансийский автономный округ - Югра 92 824,4
Чукотский автономный округ 27 868,9
Ямало-Ненецкий автономный округ 247 861,3
ВСЕГО 2 849 000,0
